,source_pid,des_pid,time,relationship,source,destination
1243,3336,3336,2023-09-27 01:43:11.529,reg_set_value,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\ActivityDataModel\ReaderRevisionInfo\C576D885-A342-B9F1-2607-4651ECE05371
1244,3336,3336,2023-09-27 01:43:11.530,reg_set_value,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\ActivityDataModel\ReaderRevisionInfo\C576D885-A342-B9F1-2607-4651ECE05371
1245,3536,3536,2023-09-27 01:43:11.911,reg_create_del,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKU\.DEFAULT\Software\Microsoft\Windows Defender
1246,3536,3536,2023-09-27 01:43:11.911,reg_set_value,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKU\.DEFAULT\Software\Microsoft\Windows Defender\CachedProxyAccessType 
1247,3536,3536,2023-09-27 01:43:11.911,reg_set_value,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKU\.DEFAULT\Software\Microsoft\Windows Defender\CachedProxy
1248,3536,3536,2023-09-27 01:43:11.911,reg_set_value,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKU\.DEFAULT\Software\Microsoft\Windows Defender\CachedProxyBypass
1249,3536,3536,2023-09-27 01:43:11.912,reg_set_value,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKLM\SOFTWARE\Microsoft\Windows Defender\Spynet\LastMAPSSuccessTime
1250,3536,3536,2023-09-27 01:43:11.912,reg_set_value,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKLM\SOFTWARE\Microsoft\Windows Defender\Reporting\SigUpdateTimestampsSinceLastHB
1251,3536,3536,2023-09-27 01:43:11.919,reg_create_del,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKU\.DEFAULT\Software\Microsoft\Windows Defender
1252,3536,3536,2023-09-27 01:43:11.919,reg_create_del,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKU\.DEFAULT\Software\Microsoft\Windows Defender
1253,3536,3536,2023-09-27 01:43:11.975,reg_create_del,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKU\.DEFAULT\Software\Microsoft\Windows Defender
1254,3536,3536,2023-09-27 01:43:11.975,reg_set_value,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKU\.DEFAULT\Software\Microsoft\Windows Defender\CachedProxyAccessType 
1255,3536,3536,2023-09-27 01:43:11.975,reg_set_value,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKU\.DEFAULT\Software\Microsoft\Windows Defender\CachedProxy
1256,3536,3536,2023-09-27 01:43:11.975,reg_set_value,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKU\.DEFAULT\Software\Microsoft\Windows Defender\CachedProxyBypass
1257,3536,3536,2023-09-27 01:43:11.976,reg_set_value,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23080.2006-0\MsMpEng.exe,HKLM\SOFTWARE\Microsoft\Windows Defender\Spynet\LastMAPSSuccessTime
